x,y,id
74.0,59.0,landscape_takes_fire_till_8651
39.0,38.0,portrait_thought_may_melt_8668
27.0,38.0,portrait_eyes_486
83.0,44.0,still_life_steel_erst_8680
6.0,48.0,landscape_stamped_impression_8689
40.0,59.0,portrait_black_spots_497
63.0,53.0,landscape_wings_swift_wings_498
53.0,64.0,seascape_watery_way_sail_storm_th_way_s_8693
27.0,65.0,landscape_ass_504
51.0,57.0,landscape_parts_region_clouds_parts_regi_8696
61.0,46.0,still_life_bells_jangled_tune_506
41.0,34.0,portrait_truth_native_inhabitant_human__512
36.0,40.0,still_life_health_vigorous_mind_8708
38.0,74.0,landscape_plants_moisture_lamps_great_th_8710
77.0,29.0,landscape_together_chaynes_fetters_impri_520
49.0,83.0,landscape_plants_use_plant_roots_grow_pl_527
64.0,51.0,landscape_hunt_beast_beast_fly_bird_bird_529
61.0,29.0,still_life_held_reins_carriage_folly_rein_8723
51.0,43.0,still_life_bore_one_stamp_8725
65.0,5.0,landscape_steady_empire_8733
44.0,27.0,landscape_zealous_pilgrimage_550
61.0,9.0,portrait_regent_sit_throned_8744
71.0,8.0,landscape_empire_8745
12.0,54.0,still_life_letter_8749
64.0,56.0,still_life_melted_minted_soul_melted_8751
42.0,10.0,still_life_law_yet_law_8755
44.0,26.0,still_life_blinded_minds_unto_570
40.0,43.0,landscape_mind_desire_572
30.0,40.0,still_life_blinds_573
80.0,46.0,landscape_steel_dust_rushes_adamant_rush_8764
42.0,35.0,portrait_person_8767
56.0,60.0,seascape_sea_stormy_passions_8774
47.0,28.0,landscape_away_sown_sown_587
62.0,41.0,still_life_hardened_590
51.0,24.0,landscape_mind_8783
59.0,37.0,still_life_time_get_within_sting_rage_8787
66.0,37.0,still_life_cut_598
54.0,23.0,landscape_conquer_passions_8796
30.0,57.0,landscape_pimple_lurking_foible_design_f_8805
68.0,41.0,landscape_interior_8806
52.0,45.0,still_life_neither_wine_drink_poured_615
54.0,44.0,still_life_kill_kill_617
22.0,42.0,portrait_upon_eyes_8811
72.0,19.0,still_life_conquest_wing_heart_8815
78.0,46.0,still_life_like_iron_first_heated_upon_8820
21.0,45.0,portrait_frontlets_eyes_631
72.0,37.0,landscape_among_event_unto_heart_full_635
69.0,40.0,portrait_hand_636
60.0,17.0,landscape_heart_making_slave_without_les_8836
69.0,38.0,still_life_bind_644
39.0,69.0,landscape_set_afloat_carried_every_side__8839
68.0,72.0,portrait_piercing_beam_restore_8840
68.0,39.0,portrait_water_face_face_answereth_650
41.0,64.0,landscape_view_charms_8845
23.0,73.0,landscape_many_devices_655
45.0,59.0,landscape_deep_water_656
69.0,6.0,still_life_gain_empire_8848
44.0,10.0,landscape_law_660
83.0,55.0,landscape_mines_sands_treasure_stor_sand_8858
57.0,40.0,landscape_heal_soul_670
52.0,57.0,landscape_empire_er_sadden_ev_ry_springi_8868
83.0,50.0,still_life_gold_sir_8870
57.0,39.0,still_life_seal_seal_upon_683
70.0,35.0,landscape_lifted_hardened_684
76.0,25.0,landscape_divisions_heart_688
67.0,41.0,still_life_stony_heart_give_flesh_689
52.0,33.0,landscape_uncircumcised_flesh_690
42.0,4.0,landscape_order_reason_place_8889
